hora_utc,total_no_periodo
00 UTC,35
01 UTC,81
02 UTC,29
03 UTC,56
04 UTC,139
05 UTC,238
06 UTC,275
07 UTC,119
08 UTC,101
09 UTC,77
10 UTC,102
11 UTC,43
12 UTC,49
13 UTC,76
14 UTC,73
15 UTC,139
16 UTC,69
17 UTC,184
18 UTC,21
19 UTC,185
20 UTC,113
21 UTC,107
22 UTC,293
23 UTC,141
