hora_utc,soma,media,mediana,desvio_padrao,participacao_total(%),hora_num
00 UTC,35,0.7446808510638298,0.0,2.4358561132844754,1.2750455373406193,0
01 UTC,81,1.7234042553191489,0.0,8.865424111730416,2.9508196721311477,1
02 UTC,29,0.6170212765957447,0.0,4.230084753438943,1.0564663023679417,2
03 UTC,56,1.1914893617021276,0.0,5.724236413373292,2.040072859744991,3
04 UTC,139,2.9574468085106385,0.0,15.716174784636358,5.063752276867031,4
05 UTC,238,5.0638297872340425,0.0,24.33677147617245,8.670309653916211,5
06 UTC,275,5.851063829787234,0.0,26.184943170525752,10.018214936247723,6
07 UTC,119,2.5319148936170213,0.0,12.74644206764789,4.335154826958106,7
08 UTC,101,2.148936170212766,0.0,7.743099939284667,3.6794171220400727,8
09 UTC,77,1.6382978723404256,0.0,7.5279927803264775,2.8051001821493626,9
10 UTC,102,2.1702127659574466,0.0,10.104495660964087,3.7158469945355193,10
11 UTC,43,0.9148936170212766,0.0,2.9401995439088577,1.5664845173041895,11
12 UTC,49,1.0425531914893618,0.0,4.620170554015956,1.785063752276867,12
13 UTC,76,1.6170212765957446,0.0,6.343614356834211,2.768670309653916,13
14 UTC,73,1.553191489361702,0.0,7.008716655578742,2.6593806921675776,14
15 UTC,139,2.9574468085106385,0.0,11.361562673460847,5.063752276867031,15
16 UTC,69,1.4680851063829787,0.0,6.395824262172895,2.5136612021857925,16
17 UTC,184,3.9148936170212765,0.0,24.797291040015228,6.703096539162113,17
18 UTC,21,0.44680851063829785,0.0,1.9650037132202758,0.7650273224043715,18
19 UTC,185,3.9361702127659575,0.0,21.647777529584836,6.739526411657559,19
20 UTC,113,2.404255319148936,0.0,8.120450765139037,4.116575591985428,20
21 UTC,107,2.276595744680851,0.0,10.541227813271366,3.8979963570127505,21
22 UTC,293,6.23404255319149,0.0,29.63855653203269,10.673952641165755,22
23 UTC,141,3.0,0.0,14.048054174402822,5.136612021857924,23
